Name,Encoding
donald trump,"[-0.13961391  0.10262833 -0.00332652 -0.01413689 -0.09674013  0.04155153
  0.02131657 -0.19880477  0.14056833 -0.12744392  0.20819968  0.02445366
 -0.28421304 -0.02166195  0.00361187  0.12695512 -0.13275918 -0.08317909
 -0.20981979 -0.12036128  0.0301443   0.0982804  -0.00506116 -0.01407206
 -0.1426612  -0.24798159 -0.06170421 -0.09779225  0.04413855 -0.06196426
  0.03045577  0.0300587  -0.27770382 -0.06115636 -0.01924954  0.031159
 -0.12257547 -0.02087264  0.13969415 -0.00129701 -0.16134201 -0.02732111
  0.01787808  0.18342207  0.19314811 -0.0225124   0.00090404 -0.12913477
  0.10003308 -0.23959951 -0.01150071  0.12307955  0.1189313   0.13193247
  0.05721128 -0.10224001  0.04914698  0.14132449 -0.1350258   0.09254278
  0.13195939 -0.21892025 -0.02891747 -0.04571231  0.12619896 -0.01573957
 -0.06146129 -0.1144235   0.18891898 -0.14917421 -0.1031299   0.06322134
 -0.04895741 -0.2216389  -0.37985697  0.04045275  0.36951762  0.21886016
 -0.17868987 -0.02325938 -0.09067625 -0.00781111  0.08122623  0.05259008
 -0.01554028 -0.11274613 -0.10403709  0.04919957  0.24592234 -0.04849857
  0.01029438  0.27507621  0.00768853 -0.0269597  -0.01248047  0.07954974
 -0.15648539 -0.06385572 -0.06356823 -0.01271545  0.00742352 -0.08406609
  0.02211344  0.15194109 -0.11250703  0.24565162 -0.05686715 -0.00184714
 -0.008614   -0.07865375 -0.05250353 -0.00540573  0.1390176  -0.17034113
  0.2124078   0.18376185 -0.03012328  0.13380216  0.04432976  0.10302714
 -0.0931102   0.00195682 -0.2635392  -0.15665428  0.0792991  -0.03170007
  0.00658863  0.02823226]"
barack obama,"[-8.59089494e-02  1.07280500e-01  2.15884801e-02 -6.55934513e-02
  1.68725029e-02 -4.74846503e-03 -8.05602148e-02 -9.40051898e-02
  1.74451068e-01 -9.61419120e-02  2.46522397e-01  7.02848136e-02
 -2.07230777e-01 -1.49817213e-01  4.49511334e-02  1.21762618e-01
 -1.83565378e-01 -6.78820759e-02 -1.03811152e-01 -1.34164274e-01
  3.43931876e-02 -1.86761748e-03  1.14413574e-01  4.09423709e-02
 -1.40742019e-01 -3.44266951e-01 -5.41434027e-02 -1.93170905e-01
 -4.60991077e-03 -9.45557356e-02 -7.44689777e-02  1.71468500e-02
 -1.77613035e-01 -1.09842002e-01  2.69289389e-02 -1.79466251e-02
  2.63332063e-03  1.70630105e-02  2.03207225e-01  1.90897323e-02
 -1.13702372e-01  1.09711453e-01  2.59452984e-02  2.28127018e-01
  2.78809339e-01  8.63758177e-02  3.43759544e-03 -8.96264464e-02
  1.24911450e-01 -2.21831247e-01  7.74491727e-02  1.51409686e-01
  7.02253059e-02  3.80699113e-02  8.69238675e-02 -1.83451265e-01
 -1.83719583e-03  8.59093294e-02 -1.36353195e-01  2.79902611e-02
  1.89999416e-02 -7.34447762e-02 -4.29355204e-02  3.92875858e-02
  1.96784720e-01  9.34017971e-02 -1.27953231e-01 -5.09233996e-02
  1.20304473e-01 -2.74345372e-02  2.98174657e-02  2.64946222e-02
 -2.03361779e-01 -2.04179883e-01 -2.21164629e-01  9.42189470e-02
  3.67586315e-01  1.75901771e-01 -1.95303485e-01  1.82341374e-02
 -1.98146075e-01  3.99671346e-02  7.31413066e-02  1.70705952e-02
 -6.24433607e-02 -1.26819238e-01 -2.38520689e-02  5.48725426e-02
  8.21391195e-02  1.58618391e-02 -4.87340391e-02  2.33020395e-01
 -2.00788397e-02  6.10773936e-02  9.18570161e-03  4.63479832e-02
 -1.53784230e-01 -1.85059626e-02 -1.73922434e-01 -6.14832416e-02
  1.48818996e-02 -3.32655385e-02  4.15971242e-02  1.19189158e-01
 -2.36753225e-01  7.15999603e-02  6.44369796e-03 -2.50106975e-02
  2.79317517e-02  7.48996213e-02 -3.39350775e-02 -4.43567671e-02
  6.33723363e-02 -2.34256417e-01  2.47751117e-01  2.52145618e-01
  5.25883734e-02  1.79723889e-01  8.33879188e-02  2.02727523e-02
 -2.40383670e-04 -1.76917706e-02 -1.63408309e-01 -4.84352820e-02
  6.69999644e-02  7.59285018e-02  6.88030124e-02  1.83668104e-03]"
joe biden,"[-0.10426045  0.17324682  0.06919595  0.00467339 -0.09045409  0.04131038
 -0.05972686 -0.08134999  0.06495163  0.02484314  0.19613373 -0.03202995
 -0.3000195   0.03854183  0.02096817  0.12034871 -0.12580186 -0.06611576
 -0.22105055 -0.03211317  0.06329817 -0.00760711  0.08432116 -0.03360512
 -0.1807602  -0.23315185 -0.05644641 -0.10619581 -0.02933593 -0.11413283
  0.0669864  -0.02453535 -0.22423488 -0.05951731 -0.01525184 -0.01146356
 -0.06347179 -0.0743618   0.1862877  -0.0439608  -0.1589804   0.03684475
  0.0528874   0.18324636  0.29057235 -0.01113477  0.00731443 -0.06175669
  0.09673662 -0.24756068  0.02986926  0.1171786   0.17426279  0.1423883
  0.06965123 -0.08591638  0.07232644  0.22557841 -0.20160228  0.0801766
  0.01100545 -0.04254238 -0.00735314 -0.03268018  0.12644584  0.12384141
 -0.07124939 -0.15371794  0.17537928 -0.08544488 -0.08085185  0.10178645
 -0.16544299 -0.1897576  -0.33677512 -0.04266702  0.29180732  0.04480089
 -0.26344728 -0.10018466 -0.03762535 -0.04179911 -0.07299466 -0.00342773
 -0.08339035 -0.1420221  -0.0597653   0.03261057  0.2857413  -0.07168335
 -0.03194026  0.26258689  0.04579629 -0.13652381  0.02590728  0.0957288
 -0.05487842 -0.06356181 -0.14317052 -0.03981557 -0.00930079 -0.14876002
 -0.07044376  0.13604444 -0.21576816  0.1421888  -0.01219267 -0.00086961
 -0.0549535  -0.04520683 -0.08659915  0.01829519  0.24248515 -0.18218105
  0.22033885  0.23706129 -0.02953144 -0.01390208 -0.01622485  0.06404284
 -0.01834683  0.08651656 -0.17179368 -0.11903228  0.04101779 -0.01776347
 -0.04940258  0.06984085]"
Putin,"[-0.08223588  0.126948    0.0398525  -0.04303124 -0.12651858  0.01469843
 -0.08138011 -0.0714421   0.09478466  0.0059099   0.17182034 -0.03503599
 -0.30088401  0.05870622 -0.0259427   0.10647186 -0.19731408 -0.09276932
 -0.16283417 -0.11817062 -0.0752764   0.05079065  0.03181425 -0.0568792
 -0.027777   -0.30556104 -0.02901815 -0.06306906  0.11878997 -0.09223872
  0.01568099  0.02451178 -0.1645878  -0.06698856 -0.00704415  0.03829891
 -0.12275121 -0.09498488  0.27122578 -0.02160947 -0.1845773   0.02135643
  0.04603904  0.21067275  0.19716343  0.00671436  0.04399429 -0.11362518
  0.0735855  -0.21096319  0.02772194  0.23905221  0.09717009  0.0859465
 -0.00413164 -0.12530819 -0.01224491  0.11437343 -0.12355301 -0.01620264
  0.11765409 -0.07615096 -0.05391182 -0.07233843  0.18426448  0.08057597
 -0.06828001 -0.15440753  0.21698131 -0.08780865 -0.1268076   0.03648327
 -0.07853812 -0.12459131 -0.25008234  0.06109016  0.35583058  0.0179289
 -0.13523795  0.05145176 -0.06350715 -0.12440917 -0.014406    0.0995565
 -0.13557334 -0.04756507 -0.05315317  0.04058353  0.20085689 -0.06763482
 -0.00688241  0.08141449  0.08340542  0.01729374  0.08970819  0.14742149
 -0.10158258 -0.01458031 -0.17043765 -0.00657814  0.11404593 -0.10322762
 -0.01349994  0.11658572 -0.10706529  0.22194171  0.02874095 -0.07085294
  0.02317059 -0.042107    0.04667414 -0.03960081  0.21599983 -0.18214674
  0.20730969  0.16755101  0.00210174  0.12600237  0.0823729   0.12260656
 -0.01909299  0.04892634 -0.22016698 -0.15965427 -0.00129551  0.05359752
 -0.01800123  0.10344312]"
Indira_Gandhi,"[-9.33879316e-02  2.62556113e-02  5.15054539e-02 -1.13192732e-02
 -8.56969208e-02 -1.05901740e-01  1.18324710e-02 -1.92882195e-01
  1.46860763e-01 -2.34691799e-01  7.40717798e-02 -1.74505115e-02
 -2.56092727e-01  2.46791635e-02 -9.72872414e-03  1.21549383e-01
 -1.08968377e-01 -1.60619125e-01 -1.31242841e-01 -8.31314027e-02
  6.18929490e-02  1.39960080e-01  2.16143727e-02 -1.00652939e-02
 -5.83043136e-02 -2.82018244e-01 -9.45250764e-02 -3.18038464e-02
  1.26223922e-01  3.86174135e-02 -4.40416299e-03  8.80586728e-02
 -2.14236572e-01 -5.44463657e-02  4.82471995e-02  1.02406256e-02
 -1.14280349e-02 -8.11574608e-03  2.58735478e-01 -1.63053796e-02
 -2.34043553e-01 -2.88132578e-05  6.99014962e-02  1.70440763e-01
  1.97194606e-01  9.98898037e-03  1.49500975e-02 -1.07182860e-01
  8.78469646e-02 -2.65674263e-01 -7.52215646e-03  1.19283639e-01
  1.24629349e-01  6.43100142e-02  6.54703081e-02 -2.23171726e-01
 -1.33396536e-02  1.16579369e-01 -1.94395363e-01  1.02067105e-01
  8.83505493e-02 -1.16063237e-01 -3.27983052e-02  3.73896323e-02
  1.91872448e-01  3.51141654e-02 -1.15994923e-01 -1.46120042e-01
  2.07662195e-01 -2.56516606e-01 -2.14461442e-02  7.10564405e-02
 -8.16804692e-02 -9.33150500e-02 -2.85465181e-01 -4.38297912e-02
  3.67895603e-01  1.05394587e-01 -1.03225812e-01  5.35764247e-02
 -3.96714732e-02  8.59824102e-03  5.97050041e-02  5.80531172e-02
 -1.14620835e-01 -6.13902546e-02 -2.17091367e-02  3.91896740e-02
  1.92719817e-01  3.10368389e-02 -5.24277501e-02  2.22602725e-01
  1.59705896e-02  3.91047895e-02  1.25021562e-02  7.43058473e-02
 -1.10046700e-01 -1.28112659e-01 -1.05743051e-01  8.78115185e-04
  1.68235525e-02 -7.05883875e-02  5.43407351e-02  2.34382883e-01
 -1.43984482e-01  1.92298919e-01 -1.44055530e-01 -4.64961771e-03
 -7.60530494e-03  4.50594611e-02 -4.64979038e-02 -1.10798480e-03
  7.85615668e-02 -1.49682343e-01  1.95811123e-01  1.60161510e-01
 -8.77404213e-02  1.04379296e-01  1.34248827e-02  5.00793085e-02
 -7.89753720e-03  5.43255508e-02 -2.29824185e-01 -1.53917864e-01
  6.73209876e-02 -7.04421774e-02  8.56023133e-02  3.63481082e-02]"
Rajiv_Gandhi,"[-0.12044567  0.05445796 -0.05442888  0.04107969 -0.07800917 -0.02824777
 -0.00832801 -0.10607485  0.15438287 -0.01904658  0.06651993 -0.04529634
 -0.22003797 -0.07150353 -0.05497675  0.12800246 -0.18872739 -0.09448628
 -0.01282984 -0.13551673  0.06178989  0.0963305   0.0453401   0.02141761
 -0.12622105 -0.20190434 -0.13445987 -0.0757539   0.09684822 -0.04771749
 -0.02015332  0.04481605 -0.21785393 -0.12039688  0.08232546  0.0410248
  0.01904439 -0.04359835  0.18142764  0.01876721 -0.05325099  0.0387599
  0.17340133  0.31789035  0.16098972  0.10773581 -0.08712808 -0.08032669
  0.0836302  -0.19458285  0.12854604  0.14283098  0.06324439  0.05836813
  0.05682802 -0.16967241  0.02873521  0.10306388 -0.18929262  0.06680398
  0.04632894 -0.00689079 -0.03433853  0.01656998  0.17514734  0.07997493
 -0.02830106 -0.14658615  0.16517441 -0.168961   -0.05410266 -0.00755155
 -0.08275016 -0.08285881 -0.3397004   0.00220581  0.38747507  0.09904233
 -0.12014312  0.11390974 -0.04171567 -0.04398897  0.07604165  0.04668846
 -0.10646108 -0.05406019 -0.10295393  0.03560798  0.15195307  0.00366083
 -0.04811042  0.17449129  0.07347098 -0.07497109  0.07921716  0.05597943
 -0.13173953 -0.08708142 -0.17088109 -0.13098943  0.08788228 -0.07418773
  0.0211836   0.20824073 -0.24043261  0.1193839   0.0527891  -0.10772186
 -0.02720329  0.00467257 -0.08749168  0.01510313  0.09878827 -0.2301832
  0.18702972  0.10727599 -0.02293751  0.16648665  0.00407719  0.11369488
 -0.03201207  0.0268839  -0.08927129 -0.13816409  0.00609025  0.02323608
  0.0764278   0.11346425]"
JFK,"[-0.01075426  0.01559183  0.00396616  0.02235377 -0.16416954 -0.02360248
 -0.02328059 -0.15023316  0.09518424 -0.02962073  0.17643762  0.00388442
 -0.24076039 -0.09270255  0.00969906  0.0939963  -0.08407072 -0.13727161
 -0.12543479 -0.12793095 -0.01913677 -0.05054987  0.0998818  -0.02582859
 -0.23251776 -0.18234831 -0.13858025 -0.14192432  0.02184028 -0.14947139
  0.07457393 -0.00662075 -0.28105658 -0.05656762  0.03812945  0.05488086
 -0.04336463 -0.13972227  0.17809315 -0.04675605 -0.09537476  0.02457138
 -0.01621719  0.11184864  0.19538093 -0.04645154  0.0126913  -0.04719186
  0.10310204 -0.21693885  0.10864182  0.11709105  0.07883599  0.09107117
  0.02700345 -0.04967902  0.11997194  0.27366942 -0.2403782   0.07832918
  0.06374396 -0.06815802 -0.05761632  0.06180129  0.14254239  0.1515471
 -0.06726598 -0.16009569  0.19775015 -0.145669   -0.03165771  0.09943077
 -0.11949152 -0.17126572 -0.27165473  0.02062481  0.46792731  0.11689794
 -0.22579448 -0.06154022 -0.12069709  0.01272849  0.0223291  -0.02380773
  0.01412799 -0.16699183 -0.13666758  0.0647594   0.2463243  -0.02686569
 -0.07385714  0.23129635  0.01674844 -0.01640549  0.02191568  0.05042009
 -0.03671347 -0.04203136 -0.00050068 -0.007063    0.02409909 -0.07029672
 -0.06454403  0.12499404 -0.10253156  0.16885605 -0.00687578 -0.02760083
 -0.05701398 -0.0766047  -0.05052788  0.03246681  0.15441939 -0.31845295
  0.29575312  0.16010687 -0.04841724  0.07119806 -0.06223128  0.05839033
  0.00867779 -0.07801552 -0.17904612 -0.12935306 -0.04048989 -0.05122861
  0.00869256  0.05301517]"
